id,industry,location,funding_rounds,total_funding_inr,team_size,competitor_density,founder_experience_years,has_patent,success
71,Manufacturing,Uttarakhand - Tehri Garhwal,5,125388586.61747527,52,18,9,0,1
72,Gaming,Tamil Nadu - Tirunelveli,4,109623996.56340425,32,14,15,0,1
73,D2C Brands,Maharashtra - Pune,4,199581690.98820814,17,24,12,1,1
74,PropTech,Rajasthan - Karauli,3,55335515.68337439,32,17,20,0,0
75,Retail,Assam - Biswanath,5,202447319.90024763,14,5,1,0,1
76,Fashion,Gujarat - Surat,1,23823882.48130361,31,17,3,0,0
77,Automotive,Uttar Pradesh - Banda,3,59547772.92343307,33,21,21,0,0
78,D2C Brands,Uttar Pradesh - Allahabad,5,323369903.6152401,6,14,0,1,0
79,Retail,Bihar - Begusarai,1,58034209.78578735,13,3,10,1,0
80,Web3,Madhya Pradesh - Ratlam,5,118679730.37830237,40,15,8,1,1
81,Automotive,Uttarakhand - Rudraprayag,5,180690071.93100876,42,12,22,0,1
82,Retail,Goa - South Goa,1,16566804.644910384,38,17,5,0,0
83,FinTech,Uttar Pradesh - Sitapur,5,44938164.52098274,5,17,0,0,0
84,CleanEnergy,Bihar - West Champaran,5,244457576.34236032,43,24,7,0,1
85,Web3,Uttar Pradesh - Gonda,5,161336434.34797814,49,19,7,1,0
86,FinTech,Jammu and Kashmir - Doda,4,82175362.24713987,44,7,3,0,1
87,Logistics,Maharashtra - Buldhana,2,27190921.86362887,30,5,3,0,1
88,Gaming,Rajasthan - Dholpur,5,280010425.9751138,42,2,0,0,0
89,AgriTech,Jharkhand - Seraikela-Kharsawan,1,25359500.451091018,57,16,24,0,1
90,Entertainment,Kerala - Kottayam,5,365270841.3532052,6,13,7,1,0
91,Travel & Tourism,Assam - Darrang,4,77841694.92873126,58,11,22,0,1
92,Gaming,Punjab - Hoshiarpur,4,93132534.68744634,12,7,17,0,0
93,E-commerce,Nagaland - Dimapur,5,344400496.19472325,31,23,22,1,1
94,E-commerce,Assam - Golaghat,3,143796913.2847028,10,3,19,1,0
95,FinTech,Bihar - Kishanganj,2,26256800.508161724,50,6,18,1,1
96,EdTech,Uttar Pradesh - Pilibhit,1,46209514.09303751,29,5,10,0,0
97,Food & Beverage,Assam - Morigaon,1,28109604.01172534,23,1,19,0,1
98,CleanEnergy,West Bengal - Jalpaiguri,1,60270627.07342305,12,1,9,0,1
99,Web3,Himachal Pradesh - Kinnaur,1,10834259.330521606,22,18,5,0,0
100,CleanEnergy,Jharkhand - Gumla,4,295365664.8186346,7,23,6,0,1
101,Web3,Himachal Pradesh - Lahaul &amp; Spiti,2,81730382.21288294,27,3,1,1,0
102,Gaming,Assam - Cachar,5,300356936.02099395,17,19,22,0,1
103,Logistics,Jharkhand - Koderma,5,289248097.2826638,52,10,17,1,1
104,SaaS,Uttar Pradesh - Bhadohi,3,55106441.05301951,15,20,17,0,0
105,FinTech,Manipur - Noney,5,355034978.4848039,36,11,16,1,1
106,PropTech,Nagaland - Phek,2,44905194.12976903,43,8,12,1,1
107,EdTech,Assam - Kamrup,5,96462745.51269394,54,20,14,0,1
108,E-commerce,Maharashtra - Buldhana,4,176192557.49883983,56,23,10,0,1
109,Logistics,Rajasthan - Jodhpur,5,394205005.39777154,37,11,6,0,0
110,Gaming,Gujarat - Bhavnagar,1,28504591.239161633,23,5,16,1,1
111,E-commerce,Sikkim - West Sikkim,1,77333840.2926572,54,22,18,1,1
112,FinTech,Bihar - Muzaffarpur,1,37631839.97214408,3,24,7,0,0
113,E-commerce,Uttar Pradesh - Mainpuri,1,67600681.6110298,14,4,16,1,0
114,EdTech,Madhya Pradesh - Rajgarh,4,178995304.92059475,12,13,15,0,0
115,Automotive,Bihar - Arwal,4,81578366.74008965,13,6,13,0,1
116,Manufacturing,Gujarat - Gir Somnath,4,283997972.24336493,34,2,21,0,1
117,E-commerce,Jharkhand - Dhanbad,5,51987342.00923643,23,6,17,1,1
118,FinTech,Punjab - Ludhiana,1,56206585.04114531,54,22,8,1,0
119,EdTech,Maharashtra - Latur,3,201920653.90560728,10,10,17,0,1
120,Manufacturing,Assam - Kamrup,3,202205730.0586875,45,23,21,0,1
121,CleanEnergy,Uttar Pradesh - Fatehpur,1,54147433.70590066,8,4,19,0,1
122,Web3,Assam - Sonitpur,2,47649609.330480665,18,16,24,0,1
123,Automotive,Rajasthan - Baran,5,224375030.38347316,11,23,15,0,1
124,Automotive,Karnataka - Yadgir,3,156645670.99118608,39,10,16,0,1
125,Food & Beverage,Bihar - Nalanda,4,286908305.931556,40,1,16,0,0
126,Retail,Uttar Pradesh - Hathras,2,33950203.10414423,52,13,15,1,0
127,Entertainment,Meghalaya - Ri Bhoi,4,159475824.7006108,47,14,18,0,0
128,CleanEnergy,Uttar Pradesh - Kanpur Dehat,2,59970390.59908274,26,23,10,0,0
129,Travel & Tourism,Madhya Pradesh - Ujjain,2,74156856.93836787,28,12,5,0,0
130,DeepTech,Gujarat - Ahmedabad,5,93643498.42362471,31,13,18,0,1
131,Healthcare,Karnataka - Chikkamagaluru (Chikmagalur),4,85229265.63671646,31,1,6,0,1
132,EdTech,Telangana - Jogulamba Gadwal,4,250954681.55393878,44,14,8,0,1
133,CleanEnergy,Chhattisgarh - Durg,3,122634675.05338803,35,8,11,0,0
134,Retail,West Bengal - Birbhum,1,43561040.72956845,34,22,1,0,1
135,Automotive,Rajasthan - Churu,1,72310858.02623318,33,14,3,0,1
136,AgriTech,Telangana - Mahabubnagar,3,68995415.31598437,59,1,2,0,1
137,Healthcare,Jharkhand - Deoghar,2,59390733.18382579,43,17,21,0,1
138,Retail,Arunachal Pradesh - Lohit,3,84438684.05317967,13,16,20,0,1
139,CleanEnergy,Delhi (NCT) - Shahdara,3,163328582.0757813,42,12,11,0,0
140,Entertainment,Madhya Pradesh - Burhanpur,4,188735215.5461265,24,20,2,0,0
141,SaaS,Uttar Pradesh - Shravasti,3,121097540.03740557,59,23,8,0,0
142,Food & Beverage,Arunachal Pradesh - East Kameng,2,110197650.78471142,30,5,11,0,0
143,Retail,Chhattisgarh - Bemetara,1,41293898.260287836,44,21,7,0,0
144,D2C Brands,West Bengal - Kolkata,5,330984008.63377506,2,24,18,0,1
145,AI/ML,Chhattisgarh - Balod,3,107304703.61287415,21,18,4,0,0
146,Logistics,Maharashtra - Hingoli,3,215386712.24714506,11,4,20,1,1
147,Logistics,Gujarat - Gandhinagar,4,55889010.06819295,20,20,4,0,1
148,DeepTech,Karnataka - Mandya,4,48184424.524942786,24,11,7,0,0
149,AgriTech,Karnataka - Chamarajanagar,3,162532841.01320052,22,8,2,0,0
150,CleanEnergy,Punjab - Amritsar,3,102683820.42032196,58,22,18,1,1
151,FinTech,Uttar Pradesh - Jhansi,2,78357153.58160786,44,9,23,0,1
152,FinTech,Bihar - Bhagalpur,1,57201398.30708004,36,20,8,0,0
153,DeepTech,Haryana - Palwal,1,21090453.73031563,49,10,20,0,1
154,Retail,Jharkhand - Dumka,5,41472991.287163205,33,7,23,0,0
155,Web3,Telangana - Sangareddy,1,37916690.45124495,55,19,13,1,1
156,E-commerce,Jharkhand - Sahibganj,5,360522004.55838776,11,22,20,0,0
157,CleanEnergy,Goa - South Goa,4,155221363.50924134,3,1,19,0,1
158,AI/ML,Maharashtra - Osmanabad,5,239486627.64970797,52,5,1,0,0
159,Gaming,Manipur - Tamenglong,5,103138030.82840092,37,6,14,1,1
160,Web3,Meghalaya - South West Garo Hills ,1,39805545.29536476,49,12,3,0,0
161,EdTech,West Bengal - Alipurduar,3,123147276.61499819,7,12,1,0,0
162,FinTech,Jammu and Kashmir - Anantnag,4,90542366.52536014,44,21,22,0,1
163,Entertainment,Bihar - Lakhisarai,2,34569500.118136674,18,14,22,0,1
164,Food & Beverage,Himachal Pradesh - Una,5,156346663.0054217,16,7,8,0,0
165,Logistics,Meghalaya - North Garo Hills,5,39574543.72080593,55,20,3,1,0
166,Automotive,Madhya Pradesh - Ashoknagar,5,87419419.23135377,37,21,4,0,1
167,Web3,Chhattisgarh - Janjgir-Champa,3,179554535.05980667,25,20,10,0,0
168,DeepTech,Manipur - Senapati,2,107370077.3400515,58,14,3,0,1
169,Travel & Tourism,Telangana - Siddipet,1,28458561.21426381,41,16,3,1,0
170,Travel & Tourism,Assam - Charaideo,4,185348590.55237877,57,9,14,1,1
171,DeepTech,Gujarat - Devbhoomi Dwarka,3,201611614.85213926,30,2,4,1,1
172,Logistics,West Bengal - Bankura,2,135871705.11616153,51,17,2,0,1
173,CleanEnergy,Rajasthan - Tonk,4,216313072.38487574,15,4,15,0,1
174,SaaS,Meghalaya - East Garo Hills,1,14304004.049675297,59,14,24,0,1
175,E-commerce,Uttar Pradesh - Hathras,4,68870070.41005723,3,14,22,0,0
176,Travel & Tourism,Bihar - Rohtas,5,134377450.608533,49,15,0,0,0
177,EdTech,Nagaland - Longleng,5,276518027.14155835,23,12,0,0,1
178,Travel & Tourism,Tamil Nadu - Perambalur,3,73050870.65977058,48,13,0,0,0
179,Travel & Tourism,Uttar Pradesh - Etah,4,159329745.13620988,54,22,2,0,1
180,Travel & Tourism,Odisha - Kendrapara,5,334572115.06255203,7,10,8,0,0
181,SaaS,Karnataka - Tumakuru (Tumkur),3,215649093.74139127,10,16,12,1,1
182,SaaS,Uttar Pradesh - Lucknow,3,203672707.17011333,13,15,23,1,1
183,EdTech,Manipur - Kangpokpi,3,41198703.95846739,43,8,12,0,1
184,FinTech,Maharashtra - Thane,1,73306558.63652983,40,4,24,1,1
185,FinTech,Rajasthan - Kota,5,281552019.7648673,6,1,20,0,1
186,Entertainment,Arunachal Pradesh - Kurung Kumey,5,257044974.38003185,59,14,22,0,1
187,SaaS,Daman and Diu (UT) - Diu,2,47131765.35836655,56,9,12,0,1
188,D2C Brands,Odisha - Kalahandi,1,74617090.18695775,41,19,24,0,1
189,Logistics,Jharkhand - Gumla,5,31510399.902638063,45,6,20,0,1
190,AI/ML,West Bengal - Howrah,5,55819755.04714845,2,16,7,1,1
191,Healthcare,Andhra Pradesh - Anantapur,2,33051186.551105697,11,24,7,0,0
192,AgriTech,West Bengal - Alipurduar,4,228243329.83580694,12,11,18,1,1
193,Travel & Tourism,Maharashtra - Jalna,4,206857185.47874537,28,21,4,0,1
194,AI/ML,Rajasthan - Baran,1,75850834.82509542,24,23,23,0,1
195,EdTech,Odisha - Ganjam,3,93520886.45401344,21,11,9,0,1
196,DeepTech,Punjab - Tarn Taran,2,62142511.11381619,6,14,18,0,1
197,SaaS,Odisha - Rayagada,2,110430101.23904218,14,11,2,0,0
198,AI/ML,Tamil Nadu - Nilgiris,5,90308954.9370835,51,14,21,0,1
199,AgriTech,Arunachal Pradesh - Changlang,5,199015989.79710507,11,1,6,1,1
200,PropTech,Chhattisgarh - Janjgir-Champa,2,12314987.357026143,54,11,22,0,1
201,PropTech,Haryana - Bhiwani,3,148208889.13617945,58,24,5,0,1
202,FinTech,Haryana - Jind,4,255197118.29383975,50,18,6,0,1
203,Web3,Bihar - Bhojpur,1,20281574.738995194,52,17,6,1,0
204,AI/ML,Uttarakhand - Rudraprayag,4,112151198.62436341,37,4,19,0,1
205,PropTech,Bihar - Supaul,1,14887949.065891491,42,22,7,0,0
206,E-commerce,Telangana - Mahabubabad,3,153526764.99494767,51,14,23,0,1
207,DeepTech,Meghalaya - East Garo Hills,2,94603079.42316559,17,8,1,0,0
208,Healthcare,Odisha - Nayagarh,3,200939139.46091944,8,15,14,0,1
209,Entertainment,Chhattisgarh - Dantewada (South Bastar),2,155551555.89608172,33,16,9,0,1
210,E-commerce,Maharashtra - Hingoli,5,393866343.9029565,26,1,20,0,1
211,Entertainment,Lakshadweep (UT) - Kadmath,1,13037582.428388536,45,1,14,0,0
212,DeepTech,Madhya Pradesh - Datia,5,232426191.6332156,27,10,1,0,1
213,CleanEnergy,Madhya Pradesh - Jabalpur,2,128448209.38852246,37,2,2,0,1
214,DeepTech,Jammu and Kashmir - Udhampur,1,54423731.039509244,54,12,18,0,1
215,Web3,Gujarat - Panchmahal (Godhra),1,72274004.1904214,29,4,4,1,0
216,FinTech,Bihar - Gopalganj,5,190644695.4598298,45,23,23,0,1
217,Gaming,Odisha - Kalahandi,1,37032280.488554284,13,19,18,0,0
218,CleanEnergy,Telangana - Yadadri Bhuvanagiri,2,13916881.329855371,27,1,6,0,0
219,Fashion,Punjab - Patiala,2,12347471.966143854,5,1,20,0,1
220,Gaming,Tamil Nadu - Sivaganga,5,284742239.3501167,45,9,13,0,1
221,FinTech,Karnataka - Raichur,3,121079882.97074689,24,20,11,1,1
222,AgriTech,Jammu and Kashmir - Jammu,2,109034618.37165499,41,13,9,0,0
223,Fashion,Telangana - Nirmal,2,45733349.630579785,25,11,9,0,1
224,Food & Beverage,Karnataka - Bengaluru (Bangalore) Rural,1,69731919.80735123,32,19,3,0,0
225,E-commerce,Uttar Pradesh - Jhansi,1,72714838.27327125,31,21,17,0,0
226,CleanEnergy,Maharashtra - Bhandara,2,109344507.70350493,4,17,5,1,0
227,PropTech,Jammu and Kashmir - Ramban,5,129175501.91301146,17,3,19,0,1
228,PropTech,Jammu and Kashmir - Shopian,3,63635093.11749369,35,20,3,0,1
229,DeepTech,Uttar Pradesh - Kanshiram Nagar (Kasganj),1,51912489.97261292,39,13,4,0,1
230,Travel & Tourism,Lakshadweep (UT) - Kalpeni,1,75558348.31556211,29,22,13,0,0
231,SaaS,Maharashtra - Jalgaon,3,145075301.51299623,50,19,8,1,0
232,FinTech,Uttarakhand - Almora,1,67947863.2831164,45,20,14,0,1
233,PropTech,Tamil Nadu - Thanjavur,5,237027080.70795906,42,21,0,0,0
234,Logistics,Meghalaya - East Garo Hills,1,55595097.032085046,49,24,20,0,1
235,EdTech,Assam - Kamrup,1,47583248.3989889,8,9,20,1,0
236,EdTech,West Bengal - South 24 Parganas,2,96304562.4283464,9,19,12,0,0
237,Web3,Uttar Pradesh - Bhadohi,5,302218784.7972312,8,19,1,1,0
238,Web3,Rajasthan - Baran,5,173591645.4252059,54,23,14,0,1
239,E-commerce,Himachal Pradesh - Bilaspur,2,145599654.15390727,38,1,14,0,1
240,Entertainment,Jharkhand - Ramgarh,4,279047854.5418247,56,17,15,0,1
241,PropTech,Haryana - Charkhi Dadri,3,178195708.34229046,8,14,2,1,0
242,PropTech,Delhi (NCT) - South East Delhi,5,303784822.1343606,51,12,12,0,1
243,E-commerce,Uttar Pradesh - Saharanpur,4,143972242.5289907,19,2,19,0,1
244,DeepTech,Arunachal Pradesh - Tawang,3,202318457.02635276,49,22,0,0,0
245,FinTech,Jharkhand - Giridih,5,374728575.0918704,40,3,13,0,1
246,DeepTech,Haryana - Fatehabad,1,64636145.573682345,22,24,2,0,1
247,AgriTech,Madhya Pradesh - Hoshangabad,5,74883589.05414476,35,5,16,1,1
248,Travel & Tourism,Jharkhand - Sahibganj,3,191989932.38595572,50,3,16,0,1
249,Gaming,Assam - Charaideo,4,159371448.13921094,58,14,8,0,0
250,Healthcare,Telangana - Vikarabad,1,50652463.24280679,28,24,19,0,0
251,AI/ML,Uttar Pradesh - Ballia,3,238010990.5840254,9,24,19,0,1
252,Gaming,Manipur - Thoubal,3,95854832.12866649,35,18,3,0,0
253,DeepTech,Madhya Pradesh - Rajgarh,5,155698144.41524172,19,5,10,1,1
254,E-commerce,Andhra Pradesh - Srikakulam,2,49469946.97411162,52,3,14,0,0
255,PropTech,Madhya Pradesh - Raisen,2,29068468.043130305,53,23,24,0,1
256,E-commerce,Bihar - Khagaria,1,17613025.513474304,42,2,12,1,1
257,Fashion,Rajasthan - Sawai Madhopur,3,130710522.85367271,13,9,23,0,1
258,Manufacturing,Madhya Pradesh - Shahdol,4,292939948.0623032,23,18,19,0,1
259,Fashion,Maharashtra - Gondia,1,65742445.06181185,52,2,11,1,1
260,SaaS,Gujarat - Navsari,1,18686905.51297127,41,22,14,0,0
261,E-commerce,Arunachal Pradesh - Upper Siang,5,235633804.63628525,23,19,5,1,1
262,PropTech,Maharashtra - Pune,4,274077392.4599389,9,3,17,0,1
263,Web3,Bihar - Supaul,3,136385932.0137618,43,18,21,1,1
264,Healthcare,West Bengal - Alipurduar,3,220072227.30011225,29,14,16,0,1
265,FinTech,Jammu and Kashmir - Shopian,3,219274115.93853602,51,13,20,1,1
266,Healthcare,Manipur - Kakching,1,31118302.214598104,48,16,23,1,1
267,FinTech,Tamil Nadu - Erode,5,352723589.841626,57,21,16,0,1
268,Manufacturing,Madhya Pradesh - Dhar,1,48883685.28425231,33,11,10,1,1
269,D2C Brands,Uttar Pradesh - Hathras,2,81976946.38137512,12,21,17,0,1
270,PropTech,Rajasthan - Rajsamand,2,126139791.21963206,22,23,2,0,0
271,DeepTech,Uttar Pradesh - Deoria,3,192663770.5549061,27,24,22,0,1
272,Gaming,Arunachal Pradesh - Anjaw,5,278283385.6203233,15,24,23,0,1
273,CleanEnergy,Tamil Nadu - Ariyalur,3,197451098.420067,16,12,3,1,1
274,E-commerce,Arunachal Pradesh - Kra Daadi,3,229070380.2800839,15,3,12,0,1
275,Travel & Tourism,Goa - North Goa,1,70481559.02796549,13,6,23,0,1
276,FinTech,Odisha - Mayurbhanj,3,31706985.949481264,37,16,0,0,0
277,PropTech,Punjab - Gurdaspur,3,206256519.78194556,4,12,18,1,1
278,Logistics,Karnataka - Mandya,5,318072884.47453135,45,21,19,1,0
279,Entertainment,Uttar Pradesh - Lalitpur,5,372528022.7190625,58,20,4,1,1
280,Manufacturing,Chhattisgarh - Bilaspur,5,302338358.7956055,59,6,12,0,1
281,AI/ML,Odisha - Boudh,3,212517041.38543215,8,20,15,0,1
282,AI/ML,Uttar Pradesh - Hapur (Panchsheel Nagar),5,28832035.66926206,40,14,15,1,1
283,Retail,Madhya Pradesh - Datia,5,391676996.624686,55,24,10,1,1
284,Entertainment,Jharkhand - Pakur,4,77271891.21814644,58,9,8,0,1
285,Gaming,Telangana - Siddipet,4,279268866.6285933,52,17,17,1,1
286,SaaS,Maharashtra - Solapur,2,149441594.93203905,47,12,14,1,1
287,D2C Brands,Tripura - Sepahijala,1,5166757.508434342,2,1,12,0,0
288,FinTech,Rajasthan - Banswara,1,73525856.80010447,40,20,6,1,1
289,Automotive,Uttar Pradesh - Bijnor,5,335954456.0934437,26,22,2,1,1
290,FinTech,Odisha - Kendrapara,2,148361896.83919096,32,8,11,0,1
291,EdTech,Manipur - Imphal East,2,36532345.74926296,23,12,17,0,0
292,PropTech,Tripura - North Tripura,4,253232280.0357035,11,16,8,1,1
293,Entertainment,Bihar - Saran,2,83122878.2131762,19,1,2,0,0
294,Healthcare,Karnataka - Uttara Kannada (Karwar),3,72980032.87494159,14,3,23,1,1
295,E-commerce,Uttar Pradesh - Ghaziabad,5,308564276.4857045,9,12,0,0,0
296,Travel & Tourism,Gujarat - Bhavnagar,3,121481975.9327515,10,4,20,0,1
297,Travel & Tourism,Gujarat - Gandhinagar,1,72491351.56504981,59,10,20,0,1
298,Logistics,Uttarakhand - Tehri Garhwal,4,233219450.99717593,16,2,21,0,1
299,Manufacturing,Uttar Pradesh - Sitapur,3,46307711.166066945,9,9,6,0,0
300,D2C Brands,West Bengal - North 24 Parganas,5,119036301.58406588,58,3,18,1,1
301,AI/ML,Bihar - Samastipur,3,74520044.31848687,34,20,11,0,1
302,E-commerce,Maharashtra - Gadchiroli,3,92411270.30688056,36,20,13,1,0
303,Web3,Tamil Nadu - Tirunelveli,2,109967564.38674164,20,1,12,0,0
304,EdTech,Odisha - Angul,4,288299769.1262777,31,5,4,0,0
305,Travel & Tourism,Chhattisgarh - Gariyaband,1,49527519.28205678,10,5,11,1,0
306,Manufacturing,Telangana - Yadadri Bhuvanagiri,5,306925641.86205906,20,2,7,0,0
307,D2C Brands,West Bengal - Nadia,5,143774836.23659414,48,15,5,1,1
308,E-commerce,Rajasthan - Ajmer,1,44184860.44197032,47,1,17,0,0
309,FinTech,Haryana - Hisar,5,214047378.85415196,27,21,6,1,1
310,DeepTech,Odisha - Rayagada,2,115158973.69591507,2,5,18,0,1
311,D2C Brands,Madhya Pradesh - Betul,3,131540762.4750081,4,7,14,0,1
312,FinTech,Telangana - Rajanna Sircilla,2,60138044.595824525,35,11,9,0,0
313,E-commerce,Gujarat - Tapi (Vyara),2,46586110.4278514,26,10,8,0,0
314,Fashion,Gujarat - Vadodara,2,48205892.331018485,31,2,19,0,0
315,Food & Beverage,Uttar Pradesh - Shahjahanpur,1,78566332.04928726,2,14,15,0,0
316,E-commerce,Karnataka - Shivamogga (Shimoga),4,127242946.0312198,19,24,19,1,1
317,Gaming,Odisha - Puri,1,65495307.27603488,34,21,3,1,0
318,Manufacturing,Uttarakhand - Dehradun,1,10352480.154819429,10,5,9,1,1
319,Fashion,Uttar Pradesh - Bareilly,2,23447984.364998594,8,16,9,0,0
320,Automotive,Jharkhand - West Singhbhum,4,225845345.73799092,31,2,7,0,1
321,SaaS,Rajasthan - Jalore,1,39290683.857688166,14,10,0,0,0
322,Food & Beverage,Gujarat - Gandhinagar,4,284147989.78754354,18,18,2,0,0
323,SaaS,Punjab - Faridkot,2,139333041.14235005,14,5,23,0,1
324,Travel & Tourism,Gujarat - Vadodara,1,61674293.05605556,14,17,11,1,1
325,Gaming,Odisha - Koraput,4,264594866.3855604,43,11,6,0,0
326,FinTech,Arunachal Pradesh - Upper Subansiri,5,351439029.6723152,39,5,21,1,1
327,Web3,Karnataka - Dharwad,1,63768166.208697885,38,21,22,0,1
328,AgriTech,Jharkhand - Seraikela-Kharsawan,1,44516918.74518676,11,24,0,0,1
329,PropTech,Madhya Pradesh - Dindori,1,24855990.27479686,15,6,23,0,1
330,CleanEnergy,Odisha - Kendrapara,4,256214702.3488108,44,22,19,0,0
